Ticker,Bond_ID,CF,Year
FVU2023,US91282CFZ95,0.9226,2023
FVZ2023,US91282CGP05,0.9272,2023
TUH2023,US912828YY08,0.9303,2023
TUM2023,US912828ZF00,0.9099,2023
TUU2023,US912828ZW33,0.9058,2023
TUZ2023,US91282CAM38,0.9058,2023
TYH2023,US912828Z948,0.7532,2023
TYM2023,US912828ZQ64,0.7052,2023
TYU2023,US91282CAE12,0.7052,2023
TYZ2023,US91282CAV37,0.7189,2023
FVH2023,US91282CEW73,0.8981,2023
FVM2023,US91282CFM82,0.9305,2023
FVU2023,US91282CGC91,0.9212,2023
FVZ2023,US91282CGT27,0.912,2023
TUH2023,US912828Z526,0.9208,2023
TUM2023,US912828ZL77,0.9037,2023
TUU2023,US91282CAB72,0.9016,2023
TUZ2023,US91282CAT80,0.9016,2023
TYH2023,US912828ZQ64,0.6964,2023
TYM2023,US91282CAE12,0.6964,2023
TYU2023,US91282CAV37,0.7105,2023
TYZ2023,US91282CBL46,0.7247,2023
FVH2023,US91282CFB28,0.8775,2023
FVM2023,US91282CFU09,0.9293,2023
FVU2023,US91282CGH88,0.9058,2023
FVZ2023,US91282CHA27,0.9058,2023
TUH2023,US912828ZC78,0.9129,2023
TUM2023,US912828ZT04,0.8973,2023
TUU2023,US91282CAJ09,0.8973,2023
TUZ2023,US91282CAZ41,0.8996,2023
TYH2023,US91282CAE12,0.6877,2023
TYM2023,US91282CAV37,0.7022,2023
TYU2023,US91282CBL46,0.7168,2023
TYZ2023,US91282CCB54,0.7458,2023
FVH2023,US91282CFH97,0.8899,2023
FVM2023,US91282CFZ95,0.9186,2023
FVU2023,US91282CGP05,0.9234,2023
FVZ2023,US91282CHE49,0.909,2023
TUH2023,US912828ZF00,0.8978,2023
TUM2023,US912828ZW33,0.8931,2023
TUU2023,US91282CAM38,0.8931,2023
TUZ2023,US91282CBC47,0.8955,2023
TYH2023,US91282CAV37,0.6941,2023
TYM2023,US91282CBL46,0.709,2023
TYU2023,US91282CCB54,0.7389,2023
TYZ2023,US91282CCS89,0.7165,2023
FVH2023,US91282CFM82,0.927,2023
FVM2023,US91282CGC91,0.9173,2023
FVU2023,US91282CGT27,0.9075,2023
FVZ2023,US91282CHK09,0.9221,2023
TUH2023,US91282CDN83,0.9181,2023
TUM2023,US91282CED92,0.9303,2023
TUU2023,US91282CEU18,0.9488,2023
TUZ2023,US91282CFK27,0.959,2023
TYH2023,US91282CBL46,0.7013,2023
TYM2023,US91282CCB54,0.732,2023
TYU2023,US91282CCS89,0.709,2023
TYZ2023,US91282CDJ71,0.7167,2023
FVH2023,US91282CFU09,0.9258,2023
FVM2023,US91282CGH88,0.9011,2023
FVU2023,US91282CHA27,0.9011,2023
FVZ2023,US91282CHQ78,0.9258,2023
TUH2023,US91282CDS70,0.9165,2023
TUM2023,US91282CEH07,0.9422,2023
TUU2023,US91282CEY30,0.9486,2023
TUZ2023,US91282CFP14,0.97,2023
TYH2023,US91282CCB54,0.7252,2023
TYM2023,US91282CCS89,0.7017,2023
TYU2023,US91282CGS44,0.8737,2023
TYZ2023,US91282CHJ36,0.8804,2023
FVH2023,US91282CFZ95,0.9145,2023
FVM2023,US91282CGP05,0.9196,2023
FVU2023,US91282CHE49,0.9045,2023
FVZ2023,US91282CHX20,0.9346,2023
TUH2023,US91282CDZ14,0.9196,2023
TUM2023,US91282CEQ06,0.9419,2023
TUU2023,US91282CFE66,0.9486,2023
TUZ2023,US91282CFW64,0.9732,2023
TYH2023,US91282CCS89,0.6944,2023
TYM2023,US91282CDJ71,0.7025,2023
TYU2023,US91282CGZ86,0.8671,2023
TYZ2023,US91282CHR51,0.8937,2023
FVH2023,US91282CGC91,0.9132,2023
FVM2023,US91282CGT27,0.903,2023
FVU2023,US91282CHK09,0.9183,2023
